created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 26 11:00:27 +0000 2024;1772579359984926988;"Terus setelah dapet merah aku di tawarin buat daftar UTBK tapi harus di UIN katanya biar peluang di terimanya besar lah yang mau UTBK aku ko yang ngatur orang lain , tapi aku pilih jalan lain , pilih daftar di sttd wkwk itu juga sama modal nekat  #snbp2024";0;2;0;0;in;1287981702174760960;1772576355508802043;ndahayups;https://twitter.com/ndahayups/status/1772579359984926988
Tue Mar 26 10:59:32 +0000 2024;1772579131953144042;"halo semeton boleh mutualan ga ya anak sosiologi udayana? #snbp2024 #udayana";0;0;1;2;in;1435091948818223104;1772579131953144042;naayourmood;https://twitter.com/naayourmood/status/1772579131953144042
Tue Mar 26 10:58:30 +0000 2024;1772578870325084383;"Selamat buat semua yg lolos #snbp2024 🥳 Ciyee, punya adek lagi 🥲 #SNBP https://t.co/3e91KWYE1O";0;0;0;0;in;1540236690622537728;1772578870325084383;lebahcantik19;https://twitter.com/lebahcantik19/status/1772578870325084383
Tue Mar 26 10:58:05 +0000 2024;1772578767384330462;"buat maba ipb 61 yang keterima dari snbp congrats ya. buat yang dari jakarta di tunggu di grup line jakarta community ya! bisa pc aing buat link grup nya!❤️#snbp2024 #snbp #ptn #ipb #IPB https://t.co/WOVy8hbaYv";0;0;0;0;in;1560260050186227713;1772578767384330462;sambatedition;https://twitter.com/sambatedition/status/1772578767384330462
Tue Mar 26 10:57:06 +0000 2024;1772578519870300180;"Awalnya nyesek❤💔... Tidak ada kata menyerah pokoknya  Emang bener jalur PTN tidak SNBP saja... SNBT menunggumu... Liat satu komen tadi, merubah saya Makasii tadi yg udah komen🤗  Semangaaatttt🔥 Buat yang biru selamat yaa💙 #snbp2024 #SNBP #snbt #snbt2024 #semangat #fighting https://t.co/H2tdO24nFw";0;0;0;1;in;1268741254294069249;1772578519870300180;chxairaa;https://twitter.com/chxairaa/status/1772578519870300180
Tue Mar 26 10:54:30 +0000 2024;1772577866531713269;"mau liat org" yg ketrima #snbp2024 tekkim ugm sama kimia undip dong🤩🥳";0;0;0;0;in;1305915493304291328;1772577866531713269;fflowerrosee;https://twitter.com/fflowerrosee/status/1772577866531713269
Tue Mar 26 10:53:04 +0000 2024;1772577505829904600;"info yang lolos satra mesin?  #snbp2024";0;0;0;0;in;1333644981781684224;1772577505829904600;Juannnnn05;https://twitter.com/Juannnnn05/status/1772577505829904600
Tue Mar 26 10:51:28 +0000 2024;1772577100379107495;"selamat sore menuju berbuka dari aku maba UNSIKA😻  #snbp2024";0;2;0;0;in;1748936739601944576;1772577100379107495;tiggytigalo0o;https://twitter.com/tiggytigalo0o/status/1772577100379107495
Tue Mar 26 10:48:31 +0000 2024;1772576357664596096;"Angkatan taun lalu ada yang masuk ya namanya rezeki untung untungan , MAKANNYA DARI ITU KALAU DAPET MERAH GALAUNYA JANGAN BERLEBIHAN ADIK ADIK MASIH ADA CARA LAIN KOK SELAIN SNBP  #snbp2024";0;1;0;0;in;1287981702174760960;1772576355508802043;ndahayups;https://twitter.com/ndahayups/status/1772576357664596096
Tue Mar 26 10:46:18 +0000 2024;1772575801504080099;"Selamat ya nduk @sekaringwana  #SNBP #snbp2024 #brawijaya https://t.co/YPx3Usy8vD";0;1;0;8;in;225023194;1772575801504080099;jwaluyo;https://twitter.com/jwaluyo/status/1772575801504080099
Tue Mar 26 10:45:52 +0000 2024;1772575691764117797;"BIRUU BIRUU😭😭💙💙💙 #snbp2024 https://t.co/wqInwhB6XM";0;0;0;7;in;1725459847515398144;1772575691764117797;rossieposyy;https://twitter.com/rossieposyy/status/1772575691764117797
Tue Mar 26 10:43:51 +0000 2024;1772575182429036548;"HI uner 24 yang drop ss an keterima di twt aku kasih saldo gopay 50k [1 orang] #snbp2024";3;7;4;3;in;1495975795936083972;1772575182429036548;breathbucket;https://twitter.com/breathbucket/status/1772575182429036548
Tue Mar 26 10:42:02 +0000 2024;1772574726545609097;"Itb mana suaranya😴 gacorrr 76 euy Smngtt snbt #snbp2024 https://t.co/j0z4BHEVjH";0;0;0;7;in;1565902012658507776;1772574726545609097;aswibi1;https://twitter.com/aswibi1/status/1772574726545609097
